logical_table,instance_id,episode_seed,bank_position,seat_index,difficulty_tags,deal_rate,normalized_primary,worst_off,max_share,seat_z,seat_z_uncond,seat_share,seat_advantage,seat_capture_z,coplayer_z,coplayer_z_uncond,z_parties
one_rational,scorable_negotiation-L0-32200851b2,1,10,2,easy;high-conflict,1.0,0.8383,0.12087912087912088,0.31569376757623824,0.797979798,0.797979798,0.3156937675775856,0.3655492234999999,1.1909209496696112,0.43243057450000005,0.43243057450000005,0.1208791209;0.3289473684;0.797979798;0.6585365854;0.6213592233
one_rational,scorable_negotiation-L1-a9097927ce,1,1,3,easy,1.0,0.7545,0.30985915492957744,0.3173142238224179,0.5441176471,0.5441176471,0.19855470918338067,-0.004950828425000053,-0.021830519995769713,0.549068475525,0.549068475525,0.3098591549;0.8695652174;0.4827586207;0.5441176471;0.5340909091
one_rational,scorable_negotiation-L0-65113008ad,2,0,4,medium,1.0,1.0,0.4339622641509434,0.2708804581245526,0.5714285714,0.5714285714,0.15478883320559614,-0.20863062210000005,-0.7317164727058104,0.7800591935000001,0.7800591935000001,0.4339622642;1;0.6862745098;1;0.5714285714
one_rational,scorable_negotiation-L4-d49e5fe070,0,19,4,medium;small-frontier,1.0,0.9816,0.0,0.2768166089965398,0.6125,0.6125,0.16955017301038064,-0.13749999999999996,-0.2811975231952359,0.75,0.75,1;1;0;1;0.6125
one_rational,scorable_negotiation-L2-0aa50f7b83,3,22,3,hard;high-conflict;large-frontier;no-clear-win-win,1.0,0.8216,0.23684210526315788,0.3244436152682831,0.6341463415,0.6341463415,0.20574473164126217,0.022133012374999983,0.06971084632318371,0.6120133291250001,0.6120133291250001,0.7297297297;0.2368421053;0.4814814815;0.6341463415;1
one_rational,scorable_negotiation-L0-65113008ad,1,0,2,medium,1.0,0.8694,0.06862745098039216,0.30410813590922237,0.06862745098,0.06862745098,0.020870166189511145,-0.736291686495,-1.636467331035671,0.804919137475,0.804919137475,0.4339622642;1;0.06862745098;1;0.7857142857
one_rational,scorable_negotiation-L0-611ee402f7,3,5,1,easy,1.0,0.9013,0.16666666666666666,0.3272615194404003,1.0,1.0,0.32726151943679727,0.48608494995000007,1.3062156243521383,0.5139150500499999,0.5139150500499999,0.8222222222;1;0.1666666667;0.396039604;0.6707317073
one_rational,scorable_negotiation-L1-a9097927ce,4,1,4,easy,1.0,0.5644,0.04225352112676056,0.43974099618066526,0.3522727273,0.3522727273,0.15490876002972012,-0.12817556346250003,-0.26918152735459294,0.4804482907625,0.4804482907625,0.04225352113;0.7913043478;1;0.08823529412;0.3522727273
one_rational,scorable_negotiation-L1-aabb4d986b,0,6,1,easy,1.0,0.8089,0.4959349593495935,0.25226471048226656,0.5737704918,0.5737704918,0.1825008418672298,-0.06877023459999998,-0.5539608359581861,0.6425407263999999,0.6425407263999999,0.6666666667;0.5737704918;0.7931034483;0.6144578313;0.4959349593
one_rational,scorable_negotiation-L1-19dae4b672,0,11,1,high-conflict;medium,1.0,0.7184,0.14444444444444443,0.42831118688518616,1.0,1.0,0.4283111868900736,0.6663122336,1.6797071525200433,0.3336877664,0.3336877664,0.4693877551;1;0.1444444444;0.5757575758;0.1451612903
